id,num_opposed_bills,name,num_supported_bills
904789,1,Rep. Don Bacon (R-NE-2),1
1603850,1,Rep. Jamaal Bowman (D-NY-16),1
1852382,1,Rep. Cori Bush (D-MO-1),1
904796,1,Rep. Brian Fitzpatrick (R-PA-1),1
15318,1,Rep. Andrew Garbarino (R-NY-2),1
1269775,1,Rep. Anthony Gonzalez (R-OH-16),1
412649,1,Rep. John Katko (R-NY-24),1
412421,1,Rep. Adam Kinzinger (R-IL-16),1
15367,1,Rep. Nicole Malliotakis (R-NY-11),1
412487,1,Rep. David McKinley (R-WV-1),1
1269767,1,Rep. Alexandria Ocasio-Cortez (D-NY-14),1
905216,1,Rep. Ilhan Omar (D-MN-5),1
1269778,1,Rep. Ayanna Pressley (D-MA-7),1
412393,1,Rep. Tom Reed (R-NY-23),1
400380,1,Rep. Chris Smith (R-NJ-4),1
1269790,1,Rep. Rashida Tlaib (D-MI-13),1
400414,1,Rep. Fred Upton (R-MI-6),1
17941,1,Rep. Jeff Van Drew (R-NJ-2),1
400440,1,Rep. Don Young (R-AK-1),1
412211,0,Rep. John Yarmuth (D-KY-3),0
